"path"	"category"	"bytes"	"files"	"identity"	"status"	"method"
"D:\3.VScode\Mi\work\v20_4_uperf_supervisor_device_gate_20260903081352"	"DELETE_REGENERABLE"	"6126530"	"48"	"b603c387d1e3b41f447e53211253bfceef37524f123871b0ddbc7f5fa94d2003"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_uperf_top_resumed_diagnostic_20260903123509"	"DELETE_REGENERABLE"	"221458236"	"14949"	"8092463b4cb722ee4c0808c75083337e11bb2d056cede1be1273b0ede057044b"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_uperf_top_resumed_null_gate_20260903144915"	"DELETE_REGENERABLE"	"519966"	"20"	"73feb987eb6a6cfb7fdeac29d18530e8b0d1b30a31eacf2ab4ac2ae883bf5f94"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v203a_active_raw_dir.txt"	"DELETE_REGENERABLE"	"74"	"1"	"7043505b916478b5d19c18cd35ddf2e2e22d788e71c183c1c46705a74c81b068"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v203a_ui_status.xml"	"DELETE_REGENERABLE"	"7791"	"1"	"557b1a0b3ab668d019e5dab031d0c01f4b943e5bad1f0f1357ab785ba94d20ca"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v203a_ui.xml"	"DELETE_REGENERABLE"	"7791"	"1"	"217d271e9d7c3053ef639008922893108266ea1b991c3159467cb1f3cc5bfcdc"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v21_phase1_major_cleanup_20260903"	"DELETE_REGENERABLE"	"195932160"	"1"	"19fee4e31de3b36f757be58895f722162ed5c3b2f1c8df5ce0d6a84bf402e6fc"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v49_live_validation"	"DELETE_REGENERABLE"	"426961"	"6"	"0deb6958e94ab3e5ddf395c97679e56cc99ad3d4682e190ff180dcb9bc1b3d3e"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v49_slot_recovery"	"DELETE_REGENERABLE"	"1141922"	"11"	"a3e1fb0a66c30211fb6a7d23c425f86caf8216124e95dedd5d41b2b7de5bbd1c"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\validation_v49_20260825"	"DELETE_REGENERABLE"	"47094118"	"27"	"f5957e7aced4464bbc10edaaed477f533d8ce09846b32c098d50caebcfa4b348"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\verify_uperf_marker_probe_20260901"	"DELETE_REGENERABLE"	"466126"	"48"	"54f39cd3b8803ebbe3c90af63d046b8c838d89271d243bfb4de6ab89f5010981"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\verify_v20_4_uperf_ready_marker_gate_zip_20260902150110"	"DELETE_REGENERABLE"	"9266295"	"59"	"7d9d16b315384f4528ae6ddc46b29fa365eff24180d937d8cdcdd6cd16522177"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\zui_notif2.xml"	"DELETE_REGENERABLE"	"62254"	"1"	"ad6885684a64a64fb4358052578d6904ea0de5136f865a14412db5bfadbeb986"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\zui_notification.png"	"DELETE_REGENERABLE"	"309984"	"1"	"a367a4a9ff6861e38433fecbe56e8b4d68972050d3d33e92a7f45a702a2b0e4d"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\zui_probe"	"DELETE_REGENERABLE"	"5012"	"5"	"9d69b5c22e73a001004554455531913b06c0d780d32204b636ee5794b0e4b54a"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\zuicontrol_perf_selected.xml"	"DELETE_REGENERABLE"	"18245"	"1"	"9b45121e9aa92495c72e2c98139b1e10c61b3910898334c3823c0154f2e0bafe"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\zuicontrol_perf.xml"	"DELETE_REGENERABLE"	"18217"	"1"	"5a59b3b033acbc1e1335917f7c730e122ab550a6d86097693104ac0ba786a1f3"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\zuicontrol_window_after.xml"	"DELETE_REGENERABLE"	"9649"	"1"	"3223c5815aef1692715f204bf3ca478224cbd9a0472946a6c053f69853e243d2"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\zuicontrol_window.xml"	"DELETE_REGENERABLE"	"9651"	"1"	"b0289575c1067c91a4bea9b7f21caaa7e4739f69c0cf3dcc162cad2b6242c945"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\zuiperfctl_live_check_20260609"	"DELETE_REGENERABLE"	"75952"	"2"	"7b3c81f54035dea8fba20485c1f6acf891a067a20ea03b8bad1f0e10a6a18d96"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\zuipp_path_test_20260606"	"DELETE_REGENERABLE"	"396730"	"4"	"53a3a03abaf76738efd9288af6f439ad50bd4299d64ee788201bcd7163e46f45"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\avb\tools\avbtool_help.txt"	"DELETE_DUPLICATE"	"2910"	"1"	"8cdc17e434efac21b089381659bdacb91a6b56c8e47c228abb45fe2779d60e5d"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\avb\tools\avbtool.py"	"DELETE_DUPLICATE"	"213682"	"1"	"36b6b955c5e70e3d4b6f7bffadd39e86d45c0fdc9f62dd64f0aeb6442fafa09c"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\avb\tools\openssl"	"DELETE_DUPLICATE"	"4948824"	"10"	"8d481f733cfcd656e33919f7e62f5129922a2e387921f48f1ad48638a19b2a44"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\avb\tools\python-3.8.0"	"DELETE_DUPLICATE"	"13839591"	"31"	"772a31230ca1f08e164db39dc13df0425e97324d46db305d94df9a24ae41779a"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\ZuiControl\V20_4_UPERF_READY_MARKER_DEVICE_STARTUP_RUNTIME_GATE"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"294953243"	"58"	"git ignored and git ls-files count=0"	"REMOVED"	"git clean -fdx -- exact path"
"D:\3.VScode\Mi\worktrees\ZuiControl_v20_4_uperf_regular_log_20260903 + ZuiControl_v20_4_uperf_supervisor_20260902"	"DELETE_REGENERABLE"	"16241610"	""	"both git status --short empty"	"REMOVED"	"git worktree remove exact paths"
